DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,LICENSE DESCRIPTION,LATITUDE,LONGITUDE,LOCATION
ZIEMEK CORP.,5368 N MILWAUKEE AVE,CHICAGO,IL,60630,Late Hour,41.97836393,-87.7703772,"(41.97836392545557, -87.77037720178194)"
TRANSIT,1431 W LAKE ST  MAIN,CHICAGO,IL,60607,Late Hour,41.88528666,-87.66343138,"(41.88528665773097, -87.66343137939039)"
CASTLE,632 N DEARBORN ST,CHICAGO,IL,60654,Late Hour,41.89335935,-87.62984515,"(41.89335935419248, -87.62984514678733)"
El Sinaloense,2759 S PULASKI RD 1ST,CHICAGO,IL,60623,Late Hour,41.8406606,-87.72430598,"(41.84066059466386, -87.7243059784339)"
CHRISTINA'S PLACE,3759 N KEDZIE AVE  1,CHICAGO,IL,60618,Late Hour,41.95019167,-87.70776827,"(41.95019167345904, -87.70776827145029)"
1000 LIQUORS / BIG CITY TAP,1000-1012 W BELMONT AVE,CHICAGO,IL,60657,Late Hour,41.94002036,-87.65417211,"(41.940020360226804, -87.65417210636889)"
THE CLOSET,3325 N BROADWAY  1ST,CHICAGO,IL,60657,Late Hour,41.94264743,-87.64433254,"(41.94264743041398, -87.64433253937592)"
1000 LIQUORS / BIG CITY TAP,1000-1012 W BELMONT AVE,CHICAGO,IL,60657,Late Hour,41.94002036,-87.65417211,"(41.940020360226804, -87.65417210636889)"
HUGO'S FROG BAR,1024 N RUSH ST,CHICAGO,IL,60611,Late Hour,41.90138464,-87.62796361,"(41.901384634926615, -87.62796360567829)"
STREETERS TAVERN,50 E CHICAGO AVE,CHICAGO,IL,60611,Late Hour,41.89681404,-87.62627782,"(41.89681403921755, -87.62627782343786)"
GAMEKEEPERS,345 W ARMITAGE AVE 1,CHICAGO,IL,60614,Late Hour,41.91822095,-87.63825245,"(41.918220945312974, -87.63825244587586)"
"EAST OF THE RYAN,INC",914 E 79TH ST 1ST,CHICAGO,IL,60619,Late Hour,41.7514313,-87.60211213,"(41.7514313030561, -87.60211212497248)"
THE STORE INC,2002 N HALSTED ST,CHICAGO,IL,60614,Late Hour,41.91832325,-87.64866198,"(41.91832325025227, -87.64866197573393)"
FIRESIDE TAVERN AND GRILL,5739-5741 N RAVENSWOOD AVE 1ST,CHICAGO,IL,60660,Late Hour,41.98623081,-87.67454136,"(41.9862308107723, -87.67454136310121)"
BEAUMONT,2020 N HALSTED ST 1ST,CHICAGO,IL,60614,Late Hour,41.91883059,-87.64868109,"(41.91883058862089, -87.64868108652085)"
BELLWETHER MEETING HOUSE & EATERY,302 E ILLINOIS ST,CHICAGO,IL,60611,Late Hour,41.89111636,-87.62006596,"(41.89111635963065, -87.6200659573806)"
PURE CAFE,6251 N MCCORMICK RD,CHICAGO,IL,60659,Late Hour,41.99547888,-87.71287527,"(41.99547887896528, -87.71287526525123)"
HOPSMITH TAVERN,15 W DIVISION ST,CHICAGO,IL,60610,Late Hour,41.90382088,-87.62932853,"(41.90382087918895, -87.62932852980815)"
BARRELHOUSE FLAT,2624 N LINCOLN AVE,CHICAGO,IL,60614,Late Hour,41.92946919,-87.65460557,"(41.92946918480737, -87.6546055689693)"
DUGAN'S,128 S HALSTED ST 1ST,CHICAGO,IL,60661,Late Hour,41.87957992,-87.64743995,"(41.87957991804082, -87.64743995410377)"
ESTATE ULTRA BAR,1177 N ELSTON AVE 1,CHICAGO,IL,60642,Late Hour,41.9034342,-87.65808665,"(41.90343419833639, -87.65808664758482)"
LAKE & CICERO INC.,356 N CICERO AVE 1 #,CHICAGO,IL,60644,Late Hour,41.88685126,-87.74565352,"(41.88685126291917, -87.74565351960071)"
UNDERBAR,3243 N WESTERN AVE 1ST,CHICAGO,IL,60618,Late Hour,41.94072869,-87.68780348,"(41.94072869326572, -87.68780347472068)"
